,text,label
0,ask native americans take,OFF
1,go home drunk maga trump,OFF
2,amazon investigating chinese employees selling internal data third party sellers looking edge competitive marketplace amazon maga kag china tcot,NOT
3,someone havetaken piece shit volcano,OFF
4,obama wanted liberals amp illegals move red states,NOT
5,liberals kookoo,OFF
6,oh noes tough shit,OFF
7,literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism,OFF
8,buy icecream,NOT
9,canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo,OFF
10,fault support gun control,NOT
11,difference kavanaugh one men admitted groping year old girl years ago going confirmed scj demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain maga,NOT
12,lying corrupt traitor nobody wants hear anymore lies deepstatecorruption,OFF
13,scare every american playing hockey warped puck,NOT
14,like soda like like boarders lot ice,NOT
15,also king taste,NOT
16,maga sing like one listening love like never hurt vote gop one watching listen liberals dirt,NOT
17,time right house respond concerns canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,NOT
18,besides jax mom maybe ope hands favorite like good person show,NOT
19,gun control kids asking,OFF
20,lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready,OFF
21,correct,NOT
22,kind like conservatives wanna associate everyone left communist antifa members,OFF
23,da fuck going people men room women room pick one stick w,OFF
24,willie fan since born love holding rally beto exactly fans furious could give specifics,NOT
25,tbh days like people general connect people days annoyance,OFF
26,south korean official leaders discuss specific denuke measures pyongyang tcot maga rednationrising,NOT
27,tell hooper,NOT
28,feel like better chasing title,NOT
29,referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left,OFF
30,glad see friends supporting metis rights much supporting zionists,NOT
31,yes asking movie,NOT
32,thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck,OFF
33,wonder apologetic social day,NOT
34,updates ending blatant racism windrush amp grenfell proves alloutpolitics politicslive pmqs,NOT
35,know going happen going lay bed cry listen kelly clarkson thanks free speech antifa,NOT
36,smart think gen flynn sentencing keeps rescheduled,OFF
37,expected placate violent leftists terrorists kavanaughconfirmation woke,OFF
38,blow hard,NOT
39,means max lvl twitter user maybe try new game,NOT
40,please explain controlled opposition means bernier escaping split rest conservatives even racist exclusionary want,NOT
41,socialists politics stand downtrodden well done conflating criticism israel anti semitism also part problem,NOT
42,nina one reasons read book long worried character trusted everyone nina goddamn goddess would die thousand times big bold lovely perfect arc perfect,NOT
43,please vote kavanaugh fit scotus allegations women shady financials disqualify ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,NOT
44,ppl say racist racist racist repeat,NOT
45,kathy patriot love great president trump spine u steel changing trade amp everything americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa,NOT
46,wow liberals really sense humor,NOT
47,fucking ready,NOT
48,holy moly catholic people awakened falseprophet lunatic,NOT
49,lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,NOT
50,surprise antifa blm soros americas worst enemy history believes way take usa withing hes right gunna happen,NOT
51,wedding best pretty,NOT
52,conflict look soros involved violent left agenda antifa also,NOT
53,announcements every come fruition basically stealing labour ideas get votes,NOT
54,british people basically full racists voters vote conservatives coincidence,OFF
55,guncontrol advocates must stop falling assure electorate love horrific,NOT
56,hi love huge fan camila mendes would alright used tweet promotional material,NOT
57,fuck,OFF
58,certainly weird view toward margaret sanger geonicidal philosophy aborting minorities like know black population suffers shares opinion,NOT
59,prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went missing,OFF
60,useless attempts right thing never follows,OFF
61,walkaway liberals party poison,NOT
62,grateful trump dog white house cruel man,OFF
63,lying stick facts pay,NOT
64,trump kicks dem butt fun,OFF
65,dumb dumber one president two one,OFF
66,toxictory minister attempted expense charity donation toriesmustgo dissolvetheunion,NOT
67,ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love manmarziyaan,NOT
68,clown prison,OFF
69,twitter silence alex jones retaliation asking twitter jack questions,NOT
70,thats old man,OFF
71,obstructionists anti american pharisees ask running get nothing maga,OFF
72,represent alinskyite orwellian leftist tool amp fool view things like marxists amp antifa similar u psst bu use words fascist fascism go ahead amp read souza book big lie right u know squat either,NOT
73,remember somehow centrist antifa haters never quite seem bring condemn things,NOT
74,mean worked gun control right,OFF
75,think last thing wh trump mind april ryan needs stop flattering important thinks,NOT
76,principled conservatives hypocrickets,NOT
77,forget amp democrat backed antifa,NOT
78,beautiful person teach values kids teaching royalty keep keep going heads stay real,NOT
79,bring antifa criminal son campaign,NOT
80,watch watch watching september th stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand moment protest saturday,NOT
81,tear made water feelings,NOT
82,trump addresses gun control representing nra let says,NOT
83,drinking much koolaid bloated,OFF
84,holder needs prosecuted,NOT
85,players women women color,NOT
86,institution let tweet behaves window licker,OFF
87,babysitting kids people old think three kids dont get mad get mad know know,NOT
88,well,NOT
89,wtc threat maga qanon wakeupamerica,OFF
90,easily digestible content need nuance even understand story show picture antifa get base level emotional response content requires order profitable,NOT
91,try looking plain old democrats liberals ones conversation,NOT
92,great news old moonbeam went coma,NOT
93,omg extra ily,NOT
94,please call trump narcissistic sociopath,OFF
95,unfortunately america system like would called racist liberals believe exams racist minority groups,NOT
96,know still alive wondering career railroaded odd loved especially day,NOT
97,guy always present bet lol,NOT
98,baby,NOT
99,persuasive fam,NOT
100,nothing new going vote anyway vote liberals november,NOT
101,burt cool dude,NOT
102,maga trump follow follow back,NOT
103,thank u finally point okay using heat happy,NOT
104,kind like trump time huh,NOT
105,former antifa white house arrest citizen arrest someone explain,NOT
106,fuck em,OFF
107,good move big loser,OFF
108,let get bottom dm zipcode check back make sure enjoying best tv offer asap nevinbruce,NOT
109,record know doug jones personally sen bc credible choice next election,NOT
110,president feelings totally opposite cnn feelings say cnn liberals,NOT
111,literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash,OFF
