,number,text,label
0,, text,label
1,0.0, ask native americans take,OFF
2,1.0, go home OFFENSIVE maga trump,OFF
3,2.0, amazon investigating OFFENSIVE employees selling internal data third party sellers looking edge competitive marketplace amazon maga kag china tcot,NOT
4,3.0, someone havetaken piece OFFENSIVE volcano,OFF
5,4.0, obama wanted liberals amp illegals move red states,NOT
6,5.0, liberals kookoo,OFF
7,6.0, oh noes tough OFFENSIVE,OFF
8,7.0, literally talking lol mass shootings like set ups OFFENSIVE used divide us major issues like OFFENSIVE control terrorism,OFF
9,8.0, buy icecream,NOT
10,9.0, canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo,OFF
11,10.0, fault support OFFENSIVE control,NOT
12,11.0, difference kavanaugh one men admitted groping year old girl years ago going confirmed scj demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain maga,NOT
13,12.0, lying corrupt traitor nobody wants hear anymore OFFENSIVE deepstatecorruption,OFF
14,13.0, scare every OFFENSIVE playing hockey warped puck,NOT
15,14.0, like soda like like boarders lot ice,NOT
16,15.0, also king taste,NOT
17,16.0, maga sing like one listening love like never hurt vote gop one watching listen liberals dirt,NOT
18,17.0, time right house respond concerns canadians four five canadians support stronger OFFENSIVE control good reason guncontrol cdnpoli cdnhist,NOT
19,18.0, besides jax mom maybe ope hands favorite like good person show,NOT
20,19.0, OFFENSIVE control kids asking,OFF
21,20.0, lol throwing OFFENSIVE flag nonsense putuporshutup kavanaugh maga callthevotealready,OFF
22,21.0, correct,NOT
23,22.0, kind like conservatives wanna associate everyone left OFFENSIVE antifa members,OFF
24,23.0, da OFFENSIVE going people men room women room pick one stick w,OFF
25,24.0, OFFENSIVE fan since born love holding rally beto exactly fans furious could give specifics,NOT
26,25.0, tbh days like people general connect people days annoyance,OFF
27,26.0, south korean official leaders discuss specific denuke measures pyongyang tcot maga rednationrising,NOT
28,27.0, tell hooper,NOT
29,28.0, feel like better chasing title,NOT
30,29.0, referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left,OFF
31,30.0, glad see friends supporting metis rights much supporting zionists,NOT
32,31.0, yes asking movie,NOT
33,32.0, thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck,OFF
34,33.0, wonder apologetic social day,NOT
35,34.0, updates ending blatant racism windrush amp grenfell proves alloutpolitics politicslive pmqs,NOT
36,35.0, know going happen going lay bed cry listen kelly clarkson thanks free speech antifa,NOT
37,36.0, smart think gen flynn sentencing keeps rescheduled,OFF
38,37.0, expected placate violent leftists terrorists kavanaughconfirmation woke,OFF
39,38.0, OFFENSIVE hard,NOT
40,39.0, means max lvl twitter user maybe try new game,NOT
41,40.0, please explain controlled opposition means bernier escaping split rest conservatives even OFFENSIVE exclusionary want,NOT
42,41.0, socialists politics stand downtrodden well done conflating criticism OFFENSIVE anti semitism also part problem,NOT
43,42.0, nina one reasons read book long worried character trusted everyone nina OFFENSIVE goddess would OFFENSIVE thousand times big bold lovely perfect arc perfect,NOT
44,43.0, please vote kavanaugh fit scotus allegations women shady financials disqualify ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,NOT
45,44.0, ppl say OFFENSIVE OFFENSIVE OFFENSIVE repeat,NOT
46,45.0, kathy patriot love great president trump spine u steel changing trade amp everything americans americafirst usa maga leadership amp respect economy jobs peacethrustrength OFFENSIVE bless trump amp theusa,NOT
47,46.0, wow liberals really sense humor,NOT
48,47.0, OFFENSIVE ready,NOT
49,48.0, holy moly OFFENSIVE people awakened falseprophet lunatic,NOT
50,49.0, lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,NOT
51,50.0, surprise antifa blm soros americas worst OFFENSIVE history believes way take usa withing hes right gunna happen,NOT
52,51.0, wedding best pretty,NOT
53,52.0, conflict look soros involved violent left agenda antifa also,NOT
54,53.0, announcements every come fruition basically stealing labour ideas get votes,NOT
55,54.0, british people basically full racists voters vote conservatives coincidence,OFF
56,55.0, guncontrol advocates must stop falling assure electorate love horrific,NOT
57,56.0, hi love huge fan camila mendes would alright used tweet promotional material,NOT
58,57.0, OFFENSIVE,OFF
59,58.0, certainly weird view toward margaret sanger geonicidal philosophy aborting minorities like know OFFENSIVE population suffers shares opinion,NOT
60,59.0, prison system OFFENSIVE still getting away potentially OFFENSIVE intent prisoners OFFENSIVE hurricane louisiana like inmates went missing,OFF
61,60.0, useless attempts right thing never follows,OFF
62,61.0, walkaway liberals party poison,NOT
63,62.0, grateful trump dog white house cruel man,OFF
64,63.0, lying stick facts pay,NOT
65,64.0, trump kicks dem OFFENSIVE fun,OFF
66,65.0, OFFENSIVE dumber one president two one,OFF
67,66.0, toxictory minister attempted expense charity donation toriesmustgo dissolvetheunion,NOT
68,67.0, ur straight forword man saw u dance dewwane ur talk free OFFENSIVE ap kitnay porrany OFFENSIVE industry mein really like ur quality u even gather ur senior artist love manmarziyaan,NOT
69,68.0, clown prison,OFF
70,69.0, twitter silence alex jones retaliation asking twitter jack questions,NOT
71,70.0, thats old man,OFF
72,71.0, obstructionists anti OFFENSIVE pharisees ask running get nothing maga,OFF
73,72.0, represent alinskyite orwellian leftist tool amp fool view things like marxists amp antifa similar u psst bu use words fascist fascism go ahead amp read souza book big lie right u know squat either,NOT
74,73.0, remember somehow centrist antifa haters never quite seem bring condemn things,NOT
75,74.0, mean worked OFFENSIVE control right,OFF
76,75.0, think last thing wh trump mind april ryan needs stop flattering important thinks,NOT
77,76.0, principled conservatives hypocrickets,NOT
78,77.0, forget amp democrat backed antifa,NOT
79,78.0, beautiful person teach values kids teaching royalty keep keep going heads stay real,NOT
80,79.0, bring antifa OFFENSIVE son campaign,NOT
81,80.0, watch watch watching september th stories came together stood shoulder shoulder made proud even issues yet people playing OFFENSIVE game cannot stand moment protest saturday,NOT
82,81.0, tear made water feelings,NOT
83,82.0, trump addresses OFFENSIVE control representing nra let says,NOT
84,83.0, drinking much koolaid bloated,OFF
85,84.0, holder needs prosecuted,NOT
86,85.0, players women women OFFENSIVE,NOT
87,86.0, institution let tweet behaves window OFFENSIVE,OFF
88,87.0, babysitting kids people old think three kids dont get OFFENSIVE get OFFENSIVE know know,NOT
89,88.0, well,NOT
90,89.0, wtc threat maga qanon wakeupamerica,OFF
91,90.0, easily digestible content need nuance even understand story show picture antifa get base level emotional response content requires order profitable,NOT
92,91.0, try looking plain old democrats liberals ones conversation,NOT
93,92.0, great news old moonbeam went coma,NOT
94,93.0, omg extra ily,NOT
95,94.0, please call trump narcissistic sociopath,OFF
96,95.0, unfortunately america system like would called OFFENSIVE liberals believe exams OFFENSIVE OFFENSIVE groups,NOT
97,96.0, know still alive wondering career railroaded odd loved especially day,NOT
98,97.0, guy always present bet lol,NOT
99,98.0, baby,NOT
100,99.0, persuasive fam,NOT
101,100.0, nothing new going vote anyway vote liberals november,NOT
102,101.0, burt cool dude,NOT
103,102.0, maga trump follow follow back,NOT
104,103.0, thank u finally point okay using heat happy,NOT
105,104.0, kind like trump time huh,NOT
106,105.0, former antifa white house arrest citizen arrest someone explain,NOT
107,106.0, OFFENSIVE em,OFF
108,107.0, good move big OFFENSIVE,OFF
109,108.0, let get bottom dm zipcode check back make sure enjoying best tv offer asap nevinbruce,NOT
110,109.0, record know doug jones personally sen bc credible choice next election,NOT
111,110.0, president feelings totally opposite cnn feelings say cnn liberals,NOT
112,111.0, literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash,OFF
113,112.0, many OFFENSIVE arguments OFFENSIVE control may dumbest common,OFF
114,113.0, idk going,NOT
115,114.0, yall need chill really abysmal nd half rizzo abysmal st half baseball happens things still needs work yes power numbers dropped yes could bounce back anytime,NOT
116,115.0, dude old lmao ps go pack go,NOT
117,116.0, trump supporters ca even wear hat without abused meet animals left OFFENSIVE antifa branch OFFENSIVE socialist nazis democrat party,NOT
118,117.0, laughs gotten enough,NOT
119,118.0, well,NOT
120,119.0, first even pizza panera,NOT
121,120.0, please OFFENSIVE antifa hand,OFF
122,121.0, see shanahan say spoon healthy game obviously excuses maybe OFFENSIVE sort thing seemed game maybe still pretty good,NOT
123,122.0, good girl,NOT
124,123.0, ugly OFFENSIVE hearted troll,OFF
125,124.0, clearly pokemon master almost rare candy alone legacy moveset pokemon depends like keep collection pieces value game,NOT
126,125.0, dont believe hype,OFF
127,126.0, followed new maga please follow back,NOT
128,127.0, protests reported sunderland except football fan one flag says westbrom getting worse even type maga mega mbga mcga conservatives patriots muslims farleft leftists doomed lose realises civilwar soon,NOT
129,128.0, liberals would still vote claim comments taken context still man integrity,NOT
130,129.0, saved maga,OFF
131,130.0, bringing honor decency yoyo picture rich,NOT
132,131.0, good riddance,NOT
133,132.0, goddess,NOT
134,133.0, omg xd worst best case best cuase made laught part asking OFFENSIVE hurts poor thing rest standin like nope suffering OFFENSIVE yeah pretty OFFENSIVE,NOT
135,134.0, probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies st century,OFF
136,135.0, see may light even last election conservatives split coming tory partyvery soon,NOT
137,136.0, get OFFENSIVE haters deleting ig reason,OFF
138,137.0, think OFFENSIVE liberals actually blame trudeau costs per standard push us,NOT
139,138.0, warned everyone josh gordon last months daily basis sure shocked transpired today,NOT
140,139.0, ca liberals read read,NOT
141,140.0, sjshsj thats job OFFENSIVE,OFF
142,141.0, discuss haiti,NOT
143,142.0, part collusion get dumocrat,OFF
144,143.0, skilled,NOT
145,144.0, amazing,NOT
146,145.0, fist pump troops,NOT
147,146.0, reason farakans OFFENSIVE values OFFENSIVE OFFENSIVE would reason detest believe OFFENSIVE values simply result bad character like supporters,OFF
148,147.0, let leftist democrats riot streets antifa counterparts,OFF
149,148.0, thought canada strict OFFENSIVE control help understand happening,NOT
150,149.0, want following people like conservatives sickening biased twitter management twitterleftbias,NOT
151,150.0, life tho,NOT
152,151.0, important midterms get word democrats want people OFFENSIVE believe support know false word spread even need know maga naacp,NOT
153,152.0, antifa giving OFFENSIVE threats professor ford threatening OFFENSIVE candidate loses spanky impeached,OFF
154,153.0, seen listened antifa pals,NOT
155,154.0, case antifa take little bat something good kind thing,NOT
156,155.0, titles scare little bit,NOT
157,156.0, gt eradicating OFFENSIVE malaria middle OFFENSIVE good bloody luck,NOT
158,157.0, interaction tory volunteers fcp volunteers witnessed today one demanding float moved back parade ableg cdnpoli,NOT
159,158.0, seems getting things done,NOT
160,159.0, added video playlist combat mon frere vs ismael et maga OFFENSIVE vs david le boxer yfc,NOT
161,160.0, law changed make allegation days guilty proven innocent liberals mentally ill,OFF
162,161.0, straight different thank joe biden one also wonder outcome name antifa hill,NOT
163,162.0, game sucks donkey OFFENSIVE,OFF
164,163.0, yo real gorgeous,NOT
165,164.0, absolutely nail coffin hilliary,OFF
166,165.0, hope gets twitter tell amazing,NOT
167,166.0, OFFENSIVE control tried proven OFFENSIVE people vote democrat refuse admit reality OFFENSIVE control work,NOT
168,167.0, overwhelming liberals populated states make policy rest america clue california biggest population mean u shares values get clue hillary,NOT
169,168.0, partly fund antifa,NOT
170,169.0, OFFENSIVE,OFF
171,170.0, levistrauss wanting OFFENSIVE control many us wonder heck want freedoms taken away selective freedoms,OFF
172,171.0, point time think pres trump gives sh neither lol,OFF
173,172.0, k conservatives get polls vote red,NOT
174,173.0, donnie jr family owe country apology taking OFFENSIVE activities white house lining pockets father unfit making mockery republic shame family justice prevail,OFF
175,174.0, harvard harris poll conducted year found percent OFFENSIVE americans said would like see one legal immigrants brought u year maga tcot,NOT
176,175.0, doubt officially become national socialist OFFENSIVE workers party gone ppl like acting der sturmer antifa einsatzgruppen waffen ss detachment,NOT
177,176.0, oh carmen fricking cute,OFF
178,177.0, chelsea crazy mother,OFF
179,178.0, time conservatives binnedboris sent lyin lynton back australia,NOT
180,179.0, manifesto promised vote back think brexit would gone brits eu allowed vote referendum gerrymandered,NOT
181,180.0, metoo movement must extension antifa complete joke movement selective joe biden would court fonding OFFENSIVE camera,NOT
182,181.0, awesome thank give humanity hope,NOT
183,182.0, goober,NOT
184,183.0, another uninformed,NOT
185,184.0, forgot foster child,NOT
186,185.0, brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump,OFF
187,186.0, OFFENSIVE way said,NOT
188,187.0, supposedly smart people think one moment audience people voted trump scared shitless hearing top brass speak way,NOT
189,188.0, surprised takes OFFENSIVE woman make type accusations kind find far left liberals praying really weak members gop like collins flake pull back support,NOT
190,189.0, california OFFENSIVE control direct result white people scared OFFENSIVE panthers using right bear arms nra problem OFFENSIVE control,OFF
191,190.0, oct brazil citizens overwhelming voted government implementing strict OFFENSIVE control factor brazilian government still violates referendum everyday brazilians murdered w zero effective method self defense,NOT
192,191.0, claim without sin deceive truth us confess sins faithful forgive us sins purify us unrighteousness john,NOT
193,192.0, yet millions permit holding people carried legally concealed firearms day hurt anyone else yet want stronger OFFENSIVE control idiots wonderful media hype incidents fits agenda,OFF
194,193.0, yes hurt selves OFFENSIVE control freaks,OFF
195,194.0, get like guy every hysterical tweet,NOT
196,195.0, always shows dedication wonder best,NOT
197,196.0, OFFENSIVE regulations good keeps conservatives striping land abyss,OFF
198,197.0, owner culo,OFF
199,198.0, scarred life lol maga,OFF
200,199.0, OFFENSIVE,OFF
201,200.0, confirm man left wing activist liar story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans,OFF
202,201.0, reagan also signed first OFFENSIVE control bill governor ca,NOT
203,202.0, awe hogwash really need overstate obvious,NOT
204,203.0, years judge extensive backgrounds peep link trump OFFENSIVE conservatives OFFENSIVE liberals,NOT
205,204.0, assuming going get answer brainless OFFENSIVE stooge ocasio cortez policy plan wakeupamerica america future vote OFFENSIVE surrender america dem morons maga,OFF
206,205.0, man seriously needs mental health treatment firearms confiscated longer danger others waiting OFFENSIVE control advocates add list school shootings buys caliber handguns,NOT
207,206.0, leftists showing yet vile,OFF
208,207.0, OFFENSIVE crazy man,OFF
209,208.0, honored included fine patriots thank rena maga dean,NOT
